Eclust,W1Cclust,W2Cclust,Xclust,Yclust,ERclust,ptisoR4,ptisoR4HCAL,totalptR4,y
58.49522,0.77288675,0.58969504,22.039093,-30.229712,0.088193394,1.4401338,2.167686,3.6078197999999997,1
94.4548,0.9373352,0.62639225,-21.798141,-7.263028,0.08089566,2.8194666,2.0151265,4.8345931,0
447.219,0.63796884,0.5501946,8.28448,-12.09714,0.15115151,2.129076,5.6697435,7.7988195000000005,0
50.037155,1.4521697,0.817028,29.95428,10.199488,0.0573611,1.7396036,12.0948515,13.834455100000001,0
43.99419,0.98824143,0.5349549,-31.00311,-33.02302,0.13129239,16.69433,0.83032256,17.52465256,0
43.324017,2.2307556,0.953983,35.749256,4.031899,0.0,8.622047,4.391266,13.013313,0
96.16711,0.8732566,0.63007826,-1.8421868,-16.699076,0.09942678,1.0464479,4.30258,5.349027899999999,0
59.045395,0.7458572,0.591567,6.276344,-33.42498,0.0,3.0190787,11.038077,14.0571557,1
93.28084,0.8638022,0.59687537,-16.3235,-14.3908825,0.34140134,2.3273678,2.9917223,5.3190901,1
152.33203,0.6937901,0.59493685,-17.903406,-26.381401,0.15932786,8.467322,0.39305314,8.860375139999999,1
73.03666,0.9553103,0.7252435,-9.800918,19.428001,0.105441265,13.762999,15.9227915,29.685790500000003,1
321.56683,0.81315064,0.58531463,3.1453626,5.5760193,0.29172838,10.80524,0.96748555,11.772725549999999,0
248.04643,0.6480551,0.58985996,-8.44464,36.936718,0.12683229,24.911228,2.6615496,27.572777600000002,0
58.96029,0.8476837,0.6107861,-21.617628,12.150759,0.091488995,0.0,0.69628274,0.69628274,0
204.47989,0.619846,0.5887187,-20.583233,-16.761747,0.3584683,56.9431,14.005533,70.948633,1
152.44913,0.28772706,0.24622071,1.7530632,9.674411,0.16392909,6.719118,1.197435,7.916553,0
49.85516,0.71847624,0.6157495,-13.734104,35.456673,0.20416334,14.891083,0.5881245,15.4792075,0
262.05698,1.3446453,0.4380464,-6.6108274,-0.6711666,0.17038625,0.0,0.24116671,0.24116671,1
194.73164,1.1664529,0.69983625,9.3804,-9.67479,0.30521822,20.992182,11.7490225,32.7412045,0
151.33119,1.3435978,0.4914831,-23.070463,15.815059,0.9926379,3.7099955,10.661348,14.3713435,1
181.5212,1.0425788,0.8202379,17.452068,4.063935,0.5924059,0.109011866,3.9161222,4.025134066000001,1
59.812176,0.69128025,0.55628926,-22.13057,-10.695736,0.09962723,0.0,1.6639863,1.6639863,0
250.72493,0.646789,0.5618659,-7.4560237,-11.520795,0.19820192,0.0,0.25308147,0.25308147,1
39.668682,0.84234625,0.6810629,-33.379765,-29.722843,0.047363065,16.039503,4.406876,20.446379,0
143.2974,0.70572305,0.5654727,24.153307,-7.190995,0.13545336,0.0,0.18443805,0.18443805,1
90.00488,1.1183398,0.6231895,-8.923244,17.123573,0.2129958,2.1981645,5.8978586,8.0960231,1
